frankenstein word,frankenstein count,call of the wild word,call of the wild count
snow,15,snapping,7
society,15,softly,7
solitude,15,something,7
sorrow,15,song,7
speak,15,sounds,7
states,15,street,7
strength,15,struggle,7
unfortunate,15,surprise,7
victim,15,tail,7
view,15,taken,7
voyage,15,told,7
whether,15,train,7
admiration,14,travelling,7
agitation,14,twice,7
allow,14,us,7
amiable,14,warning,7
bed,14,weak,7
benevolent,14,web,7
bestow,14,wolves,7
capable,14,yards,7
charge,14,yukon,7
circumstances,14,added,6
comply,14,afraid,6
created,14,asked,6
curiosity,14,aware,6
daughter,14,beast,6
except,14,bed,6
former,14,bit,6
forward,14,blows,6
frame,14,bone,6
hatred,14,bottom,6
herself,14,bound,6
hovel,14,breaths,6
ideas,14,bristled,6
literary,14,business,6
moved,14,chance,6
open,14,closed,6
past,14,comply,6
paused,14,continued,6
people,14,course,6
point,14,creatures,6
presence,14,current,6
presently,14,day's,6
recovered,14,distribute,6
silence,14,distribution,6
sky,14,dog-driver,6
sufferings,14,dollars,6
thirst,14,driven,6
thou,14,drivers,6
told,14,early,6
tranquillity,14,easy,6
tried,14,eaten,6
truth,14,edge,6
understood,14,efforts,6
wandered,14,except,6
waves,14,experience,6
word,14,feel,6
wretchedness,14,fierce,6
above,13,finally,6
addressed,13,find,6
advanced,13,flung,6
along,13,foot,6
arabian,13,fought,6
archive,13,fury,6
ardour,13,future,6
behold,13,generations,6
believed,13,getting,6
besides,13,gold,6
bestowed,13,hear,6
better,13,help,6
call,13,hind,6
city,13,hole,6
clouds,13,howl,6
commence,13,i'll,6
committed,13,ill,6
copyright,13,joy,6
crimes,13,known,6
dare,13,leader,6
devoted,13,leaped,6
directed,13,learn,6
employed,13,least,6
enjoyed,13,loaded,6
ernest,13,looking,6
favourite,13,loose,6
feared,13,miller's,6
feet,13,mind,6
frightful,13,moonlight,6
gained,13,moved,6
gone,13,mush,6
instant,13,muzzle,6
interest,13,mystery,6
latter,13,northland,6
less,13,our,6
magistrate,13,outfit,6
meet,13,partners,6
mighty,13,pass,6
mr,13,phrase,6
next,13,primitive,6
north,13,rapid,6
ocean,13,read,6
ought,13,record,6
presented,13,refused,6
prison,13,return,6
promised,13,rush,6
prospect,13,salt,6
protectors,13,saved,6
pursued,13,scotch,6
reason,13,sense,6
reflection,13,short,6
remains,13,skaguay,6
remembered,13,slashed,6
scarcely,13,snarl,6
secret,13,sought,6
story,13,splendid,6
surprised,13,spoke,6
threw,13,steadily,6
undertaking,13,straining,6
vain,13,struggling,6
watching,13,summer,6
winter,13,swiftly,6
17,12,taking,6
access,12,tax,6
age,12,tell,6
arrive,12,ten,6
best,12,that's,6
books,12,third,6
branches,12,thirty,6
cast,12,thus,6
certainly,12,tree,6
cheerful,12,true,6
companions,12,understand,6
conceived,12,volunteers,6
consent,12,walk,6
copy,12,wanted,6
danger,12,weary,6
degrees,12,whom,6
destiny,12,wind,6
divine,12,woods,6
doubt,12,worked,6
dreadful,12,worse,6
dreams,12,1e1,5
endeavour,12,ached,5
enough,12,active,5
evening,12,additional,5
event,12,advances,5
excited,12,advantage,5
expected,12,advice,5
fair,12,alert,5
fatigue,12,anyone,5
fled,12,apparent,5
greatly,12,arose,5
hitherto,12,arrows,5
hunger,12,attack,5
increased,12,attempt,5
justice,12,bitter,5
kirwin,12,blankets,5
least,12,blow,5
limbs,12,bore,5
listen,12,bulls,5
listened,12,burst,5
modern,12,cabin,5
mont,12,cannot,5
objects,12,chief,5
obliged,12,clear,5
occupations,12,command,5
off,12,commanded,5
paid,12,compelled,5
passions,12,compliance,5
plan,12,contact,5
pleasant,12,de,5
river,12,decided,5
round,12,destroy,5
satisfied,12,different,5
